"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11"
"488","city","Kansas City","driving","","Missouri","United States",100,105.22,103.14,107.71,74.05,126.55,88.51,93.9,97.28,86.45,95.41,99.76,121.7,83.81,95.35,96.75,101.6,104.33,122.29,127.88,86.18,96.42,107.47,109.05,104.31,116.38,121.49,83.96,97.01,103.56,92.3,101.32,133.56,131.43,95.25,104.58,103.26,103.56,108.54,128.05,137.36,93.6,98.71,100.94,106.34,112.21,133.76,140.78,96.69,102,108.19,110.02,115.06,137.78,143.82,97.78,100.9,113.16,114.92,106.49,114.54,95.61,67.87,78.99,72.08,67.2,67.32,74.5,63.15,44.03,63.94,46.48,52.93,55.73,61.26,56.1,45.64,56.93,59.09,61.06,58.91,58.55,54.86,45.77,56.63,62.02,63.4,63.3,71.26,62.38,36.51,60.99,63.89,70.76,66.88,73.96,73.98,58.66,71.64,74.96,70.46,79.82,77.89,79.8,64.34,76.67,76.76,79.78,87.75,98.92,91.85,69.75,73.58,90.48,88.52,88,107.23,99.31,72.77,NA,NA,95.47,101.27,118.56,110.83,90.25,109.72,117.4,118.87,123.7,132.48,121.1,92.35,88.91,113.62,120.38,115.49,146.49,133.09,101.32,123.86,127.22,129.6,134.36,152.43,140.93,109.11,127.9,130.46,136.49,146.38,164.16,154.33,116.85,133.26,137.88,140.84,147.2,159.57,153.61,107.4,134.56,143.02,147.89,154.03,169.12,155.93,121.37,135.42,142.58,146.44,154.8,144.63,109.86,103.69,133.95,140.21,144.79,149.53,171.82,162.5,123.67,138.49,140.82,140.1,150.29,168.62,159.84,118.81,126.96,134.15,144.43,151.64,171.36,161.9,122.97,130.07,139.92,134.68,141.09,162.57,162.23,122.44,142.79,146.32,144.43,149.29,165.66,162.94,120.25,134.7,140.28,142.59,147.34,164.4,155.68,119.31,133.97,135.05,139.02,142.47,164.96,157.42,117.31,128.24,132.72,133.26,138.58,157.52,144.99,115.52,121.02,129.92,137.83,143.4,165.47,150.48,118.87,107.08,122.21,124.8,127.32,149.42
"489","city","Kansas City","transit","","Missouri","United States",100,101.3,91.59,98.76,76.36,96.49,77.63,86.19,103.25,89.35,94.04,98.64,92.48,74.12,95.31,96.55,102.83,95.9,104.54,100.24,82.71,101.24,121.69,114.64,98.82,98.85,96.93,81.03,99.06,97.99,91.3,89.14,112.19,111.45,85.36,103.63,100.91,102.83,103.1,103.25,106.88,81.41,92.09,100.12,100.15,99.94,105.96,105.25,88.99,97.93,103.89,96.11,93.69,111.51,111.95,81.79,93.3,104.93,106.31,94.69,91.44,78.05,64.59,73.95,67.13,63.06,61.97,61.43,56.57,40.99,52.4,45.71,50.49,51.76,54.85,46.74,46.98,55.39,56.15,51.64,51.17,42.64,44.79,44.29,48.57,58.25,56.39,52.99,50.19,45.71,34.38,55.65,55.27,52.85,44.38,50.01,48.45,42.52,54.53,56.71,48.19,49.4,49.66,50.1,44.76,56.06,54.26,59.93,60.11,59.58,52.38,47.42,48.45,61.29,60.08,55.18,60.93,52.61,41.84,NA,NA,55.33,56.95,64.89,58.34,55.68,63.5,71.76,67.39,67.07,66.04,65.42,53.94,57.39,66.54,67.75,59.84,76.69,63.35,56.42,69.02,77.25,76.72,75.75,82.86,74.03,60.14,75.89,73.77,74.42,71.85,87.28,78.49,73.71,79.26,84.8,82.92,82.21,78.78,74.56,62.32,76.28,83.15,84.92,87.96,87.67,76.98,63.82,79.26,78.64,76.93,86.87,74.83,61.32,64,83.42,82.33,84.54,81.74,86.46,84.15,71.88,83.3,82.62,71.05,81.68,86.1,81.35,65.24,68.69,76.07,81.76,80.91,84.27,71.38,65.62,74.09,77.16,68.72,74.33,80.08,69.31,67.25,76.54,84.54,79.64,78.22,87.52,84.57,61.94,79.08,78.37,80.76,80.38,87.67,78.34,66.69,77.16,80.14,79.08,82.97,90.59,80.64,74.27,85.98,84.83,77.1,84.54,77.9,70.14,61.52,70.7,75.63,81.32,83.3,82.68,78.43,59.66,65.48,74.86,70.96,78.11,81
"490","city","Kansas City","walking","","Missouri","United States",100,104.82,102.42,102.27,82.45,178.05,113.1,92.38,95.42,80.68,91.79,115.7,173.08,102.18,92.04,94.3,95.9,101.97,143.25,189.17,161.88,110,177.65,320.43,107.47,127.34,166.28,92.23,94.85,102.18,87.49,106.02,179.06,204.38,129.96,117.92,101.18,100.29,103.88,135.87,175.48,101.11,93.82,97.11,103.74,112.94,156.27,200.12,114.19,101.19,111.75,111.6,116.57,167.09,208.09,118.17,94.89,122.29,131.6,112.44,122.43,115.96,71.7,81.01,74.78,70.66,77.55,78.28,69.32,50.04,70.72,52.55,66.29,74.51,72.27,73.38,63.97,69.25,73.52,75.77,69.88,58.58,64.14,60.43,64.23,80.68,80.31,73.02,82.76,78.93,41.63,66.96,71.03,75.44,65.38,75.25,84.97,71.36,83.41,88.17,73.64,92.07,80.74,97.12,80.54,88.67,84.88,90.94,101.57,108.4,110.88,86,76.34,105.14,98.86,92.6,122.05,116.82,83.02,NA,NA,110.85,123.21,146.48,142.96,115.12,131.54,144.42,147.25,149.8,163.04,161.22,119.95,105.02,136.27,141.06,133.42,191.56,180.21,143.06,158.78,161.83,158.17,161.23,182.58,174.94,129.45,147.91,154.22,160.04,174.89,196.15,207.2,136.91,156.86,162.56,168.71,181.17,191.37,206.68,128.59,158.78,171.72,179.42,184.08,208.94,207.24,142.75,164.44,169.34,168.45,179.53,179.52,137.53,127.01,160.87,173.11,172.73,184.81,214.51,210.67,151.44,170.9,174.16,164.92,181.67,211.26,212.03,137.96,145.91,157.87,173.5,180.75,216.06,225.55,148.41,149.45,166.4,158.17,168.42,208.02,221.95,153.92,175.76,182.87,179.79,180.27,212.93,224.19,148.8,160.28,165.38,172.09,176.59,217.59,220.99,150.44,169.19,163.62,178.28,174.08,216.39,221.98,151.77,159.73,165.36,162.74,167.74,201.44,200.04,144.8,142.59,156.37,162.02,173.68,214.56,225.59,165.8,132.63,147.79,146.51,148.22,185
"823","city","St. Louis","driving","Saint Louis","Missouri","United States",100,103.59,104.72,105.61,78.42,115.19,83.16,92.46,96.47,97.5,93.56,109.6,114.85,79.34,91.02,102.4,97.6,102.75,119.92,118.73,81.31,95.04,101.97,83.71,99.22,118.31,119.68,84.03,97.94,102.31,101.46,107.16,135.79,128.74,97.69,101.04,105.08,105.75,110.49,138.05,152.11,97.75,101.48,107.41,108.04,112.75,132.94,140.12,98.43,101.46,110.77,111.46,117.38,139.43,143.13,97.27,101.82,108.7,108.64,103.21,116.86,100.16,70.66,79.17,76.78,69.28,66.34,74.9,61.88,41.5,51.04,49.27,55.26,57.3,61.54,51.19,47.32,56.35,57.43,58.05,58.66,64.53,51.04,42.41,54.5,57.91,59.24,60.25,68.49,59.47,37.12,58.04,60.4,65.58,67.64,70.53,71.24,56.33,69.07,70.51,69.03,69.11,79.5,65.17,63.55,71.88,73.53,71.4,82.42,92.53,84.71,65.14,77.05,83.23,86.26,90.17,98.97,99.24,69.91,NA,NA,89.53,96.58,109.47,100.81,78.47,102.27,105.88,108.43,114.81,129.68,116.18,86.59,86.25,110.51,109.26,116.9,138.51,128.94,101.26,118.38,117.97,117.95,123.95,138.58,129.85,104.87,118.42,117.76,127.48,133.34,148.15,143.83,112.82,127.49,131.78,133.73,139.18,155.59,140.89,103.75,123.14,136.1,138.73,143.36,159.24,143.44,115.22,130.54,124.02,137.57,150.53,145.71,113.3,104.56,129.67,133.04,135.45,141.37,159.28,148.61,117.35,131.04,134.44,129.65,142.85,155.72,148.09,113.17,125.54,129.03,135.77,139.26,157.2,147.75,116.47,123.28,134.95,132.38,134.92,144.5,141.6,112.75,130.45,136.83,136.32,141.66,156.66,143.71,112.27,124.53,135.47,134.52,139.22,156.75,148.67,118.16,127.81,128.42,132.72,136.71,155.31,146.03,110.22,119.55,122.06,125.24,127.81,149.74,144.61,111.23,116.18,119.28,126.79,134.5,157.2,145.79,114.82,102.22,121.77,125.86,130.32,151.99
"824","city","St. Louis","transit","Saint Louis","Missouri","United States",100,103.09,97.54,94.1,80.97,85.47,74.77,86.91,97.7,94.3,88.92,99.48,94.87,73.14,90.74,92.25,88.96,92.05,101.39,93.57,80.49,104.15,98.72,90.07,94.29,100.17,94.2,79.54,95.82,105.79,90.28,94.92,104.71,99.06,89.61,97.32,106.77,101.84,100.17,108.6,127.84,87.91,93.68,94.61,96.16,99.74,110.27,108.36,84,99.69,103.6,100.94,101.86,108.13,107.3,82.78,93.31,97,93.44,86.94,92.67,78.37,62.43,80.22,72.81,66.74,60.39,62.14,55.75,43.17,59.8,54.53,57.13,57.93,58.21,49.73,49.37,58.28,57.29,55.49,54.58,56.28,46.65,46.7,51.54,55.4,57.04,52.36,51.87,48.61,39.07,50.89,45.01,47.26,50.37,45.98,51.49,46.86,56.21,56.75,52.83,52.69,53.79,43.72,48.34,55.8,55.13,51.81,55.51,57.44,55.03,50.04,57.56,58.99,60.73,60.79,59.23,51.65,46.39,NA,NA,54.2,55.55,59.24,51.64,50.92,58.62,60.17,62.76,62.61,66.08,63.68,48.45,54.52,72.29,66.64,68.69,73.13,69.22,62.13,66.48,61.08,64.45,60.63,61.92,61.11,51.6,65.37,63.48,63.72,64.58,65.45,63.84,54.89,67.54,71.14,68.65,70.33,71.1,65.99,56.33,73.11,73.09,76.58,74.96,76.89,66.8,58.53,67.69,65.77,66.3,69.32,68.87,56.15,58.8,73.11,73.59,67.83,71.77,76.62,68.66,62.61,75.96,75.78,64.08,73.69,73.24,67.77,57.64,65.23,65.68,68.81,71.31,68.98,64.66,62.4,67.3,70.91,68.15,67.95,67.31,62.85,57.77,71.69,70.16,69.42,71.34,75.44,65.43,60.27,71.62,70.75,73.81,74.56,74.03,66.5,60.11,75.32,68.84,71.36,74.03,73.59,70.96,60.09,72.41,78.72,73.48,70.09,71.8,68.95,58.99,62.55,67.54,73.29,77.12,76.96,72.35,59.49,62.81,69.42,74.7,73.48,73.79
"825","city","St. Louis","walking","Saint Louis","Missouri","United States",100,107.45,108.53,104.52,87.76,146.5,93.15,90.7,95.11,92.68,85.89,128.21,158.98,88.39,90.18,90.59,88.4,97.9,130.76,145.24,100.92,99.09,92.48,86.08,96.95,144.38,160.12,95.12,96,100.22,91.42,102.52,156.07,199.25,145.1,106.56,106.19,105.75,110.53,160.29,523.91,128.24,93.27,101.67,99.37,117.13,143.55,196.42,119.4,105.27,111.72,112.73,123.67,159.71,184.92,121.82,102.82,111.95,109.94,100.63,123.11,121.76,76.53,80.56,83.48,76.67,70.49,79.1,73.88,50.61,59.66,54.54,73.31,74.98,77.01,64.2,71.89,74.82,73.72,76.1,73.52,79.37,60.62,59.31,75.09,80.69,80.49,75.59,84.9,71.93,53.89,67.51,72.09,78.89,79.81,75.75,92.96,76.96,85.82,87.45,83.85,78.66,94.83,72.24,88.8,85.04,88.8,76.05,99.77,110.55,108.73,83.58,89.08,100.05,105.97,114.61,114.9,125.03,82.69,NA,NA,106.32,120.26,139.08,132.45,102.56,125.5,132.67,136.46,147.58,163.07,163.77,117.46,116.4,141.01,137.18,145.36,180.23,179.22,138.11,157.79,149.17,149.15,154.83,171.12,167.8,140.04,145.03,142.51,155.35,167.02,183.7,183.53,139.97,153.26,161.3,158.18,168.73,192.4,175.64,127.41,146.67,170.62,173.04,177.65,198.05,184.03,146.49,162.9,146.74,164.13,176.8,183.97,156.05,133.77,161.13,163.5,164.16,172.08,200.67,198.28,151.82,164,165.49,160.36,175.95,194.19,200.13,139.93,154.03,152.95,173.48,174.79,198.24,196.06,151.39,150.29,166.34,161.75,166.27,179,193.71,148.44,165.07,182.12,173.13,176.3,204.53,186.37,138.74,153.76,171.16,173.1,176.69,208.66,199.81,152.74,160.41,171,173.14,180.95,202.57,206.26,142.76,155.32,156.82,160.17,161,197.21,193.79,135.54,143.57,147.3,160.72,165.72,207.59,218.77,161.72,135.09,156.29,160.76,165.97,200.67
"2061","county","Adair County","driving","","Missouri","United States",100,102.32,92.44,105.11,78.2,99.93,82.49,104.9,109.54,89.17,82.56,115.53,122.75,92.03,94.48,97.96,92.51,104.16,136.85,141.83,98.91,96.46,104.77,93.94,116.76,127.45,122.21,92.37,105.38,111.85,100.14,102.66,161.72,138.42,109.88,122.34,113.9,121.59,114.58,154.22,140.46,101.29,110.9,116.89,117.17,130.18,154.97,163.28,108.24,112.4,115.94,117.51,136.04,180.52,125.95,90.67,90.94,94.96,96.39,104.09,117.78,95.5,61.72,78.41,77.32,76.84,74.59,77.38,63.22,44.96,64.1,53.81,61.44,66.14,79.02,73.23,66.08,66.28,67.37,65.05,68.6,87.33,70.1,57.36,63.69,62.94,71.73,63.49,73.57,63.83,40.8,75,65.19,63.49,71.73,77.04,73.09,64.17,80.79,79.56,98.16,94.21,93.8,84.33,76.84,86.58,81.74,90.53,99.25,109.26,92.71,88.9,101.98,105.11,106.88,104.9,133.92,116.69,75.82,NA,NA,109.54,113.96,147.55,124.05,93.05,112.87,110.76,120.16,122.55,155.65,124.59,111.38,112.06,122.07,118.66,122.14,157.29,166.49,113.9,126.57,129.09,118.53,120.84,140.67,131.47,114.17,129.97,124.25,127.45,138.9,147.82,151.84,128.07,130.93,140.74,141.35,148.84,155.93,150.54,110.63,130.45,140.26,142.44,144.62,166.42,166.96,128.81,145.16,143.12,174.05,185.69,178.88,134.13,154.84,169.07,166.83,170.5,168.8,196.46,182.56,150.2,155.52,135.35,139.17,155.86,182.49,149.32,132.9,129.16,144.35,135.49,137.33,179.16,160.08,124.73,137.6,144.28,138.96,140.74,160.56,178.61,142.71,139.99,133.38,139.78,161.65,180.86,187.26,156.47,157.08,203.41,269.14,191.62,230.86,253.61,208.51,162.81,153.41,173.84,169.69,213.76,228.27,162.94,154.43,142.71,145.3,158.24,216.89,189.51,156.68,158.38,158.58,163.9,184.88,239.51,208.99,156.2,148.91,145.5,134.33,142.92,188.15
"2116","county","Andrew County","driving","","Missouri","United States",100,101.45,94.74,113.42,70.61,107.4,85.55,98.76,94.67,67.98,75.66,111.27,145.16,100.69,94.05,89.97,92.74,104.84,141.15,150.21,82.23,100.28,103.8,86.79,111.41,132.02,151.87,115.42,93.91,90.73,101.94,101.52,148.27,147.72,130.36,112.86,113.83,118.05,108.58,154.91,167.29,131.47,103.46,104.01,112.1,111.13,156.64,155.81,121.65,110.24,110.86,109.82,129.67,186.58,183.26,134.44,109.2,103.87,115.56,114.8,139.21,114.18,94.19,93.29,97.58,90.04,87.83,105.6,83.82,68.95,77.04,63.35,79.6,79.88,86.31,76.07,63.62,82.16,78.35,81.54,77.73,71.23,66.53,69.29,74.2,87.97,87,83.96,88.17,75.31,47.72,77.32,81.4,82.37,78.08,89.21,92.67,87.83,94.88,92.81,112.1,113,103.67,106.57,92.32,102.35,90.18,97.72,116.87,128.56,129.05,105.81,101.73,111.48,117.29,116.39,152.49,138.66,92.74,NA,NA,129.6,118.46,154.36,141.42,118.67,132.92,137.9,150,155.19,190.11,170.95,125.38,162.03,139.07,157.4,148.82,205.95,174.97,133.33,148.41,140.39,139,160.03,186.38,181.05,150.76,148.13,151.52,164.25,192.6,214.04,223.31,162.45,160.17,162.52,165.84,188.8,210.79,210.51,186.38,162.24,159.75,184.99,186.72,237.69,220.75,174.83,167.91,178.49,188.24,227.18,241.91,162.86,202.42,183.61,171.51,187.14,205.33,251.94,246.4,191.49,175.73,162.79,170.12,214.11,236.93,236.45,178.98,164.59,171.37,183.13,179.05,213.76,215.91,174.97,163.35,174.55,166.46,236.86,215.21,211.34,183.89,177.59,186.38,189.42,194.12,234.92,238.59,177.32,176,177.8,164.59,196.33,226.76,248.34,205.39,156.36,156.78,158.92,166.67,217.84,227.66,179.11,154.01,138.38,147.03,161.34,196.61,240.32,192.46,139.28,145.09,162.86,172.82,245.92,216.94,163.28,179.53,160.58,125.73,153.6,200.69
"2155","county","Audrain County","driving","","Missouri","United States",100,106.88,98.24,98.15,51.93,81.96,65.27,85.32,91.69,74.66,72.9,78.44,90.27,68.62,87.58,96.81,95.13,92.53,112.08,98.32,73.24,93.79,86.91,57.38,91.28,100.76,97.57,65.52,88.17,97.48,73.91,87.16,154.95,123.49,83.98,102.6,100.25,93.79,112.92,119.97,103.78,83.39,102.01,101.76,106.88,107.3,138.84,129.53,96.14,96.56,119.71,116.69,118.71,141.86,127.77,97.32,88.51,105.87,119.04,104.36,123.74,106.54,84.4,87.92,91.36,80.12,82.63,83.14,74.75,41.86,82.72,70.64,84.14,75.67,83.98,61.74,58.98,80.54,80.96,72.32,81.21,87.5,76.43,52.27,80.37,71.56,85.15,102.35,88.59,62.42,47.06,97.9,77.27,83.39,82.55,88.42,83.47,67.2,85.15,86.58,90.86,94.71,103.19,90.86,77.85,91.11,85.49,100.34,120.55,119.3,106.38,96.39,87.33,114.09,107.05,111.58,140.69,134.56,92.95,NA,NA,115.77,117.2,157.63,128.36,112.92,128.86,134.31,129.7,140.77,195.13,151.51,121.81,148.07,136.74,134.82,142.79,172.73,156.38,116.61,128.1,134.82,148.99,155.2,177.35,147.48,149.16,140.27,110.32,136.58,178.19,205.45,191.53,170.64,162.5,154.87,174.66,175.59,174.41,164.26,144.46,155.54,164.35,177.6,189.18,204.87,181.88,166.95,163,171.31,181.96,242.37,190.1,128.1,197.23,169.97,175.42,169.3,203.1,208.56,198.07,173.74,177.27,158.05,163.17,190.86,207.38,201.76,175.08,158.89,163.93,196.73,211.83,223.83,186.66,174.75,158.81,180.29,167.7,193.12,207.89,202.85,170.3,163.76,164.93,170.3,208.81,223.57,185.49,168.37,144.63,160.32,179.95,199.24,209.31,211.83,157.13,152.77,153.94,140.02,173.07,185.74,168.29,154.61,139.93,130.12,140.1,147.32,167.2,132.13,126.34,128.69,129.95,130.62,175.84,209.48,190.1,131.04,167.95,155.12,147.82,155.03,178.52
"2183","county","Barry County","driving","","Missouri","United States",100,102.93,106.35,101.24,98.22,117.06,71.74,98.56,103.47,75.51,92.61,94.65,115.27,77,87.11,103.92,91.57,97.12,113.68,114.97,70.6,90.03,83.59,52.7,91.18,100.74,116.26,89.04,91.47,102.33,89.74,93.41,126.08,123.8,99.8,98.66,93.01,101.14,108.82,130.59,137.08,84.58,97.03,99.55,105.11,106.54,121.76,153.15,112.44,117.6,113.29,112.15,118.54,135.4,144.03,108.82,103.47,117.75,111.01,114.48,119.24,115.47,104.96,110.96,97.87,98.41,81.01,99.8,91.32,66.58,79.47,73.57,96.63,104.56,100.25,93.41,84.38,75.56,82.7,90.78,80.86,76.15,75.36,66.58,68.22,85.82,94.5,86.37,97.92,89.89,62.72,84.88,81.11,94.1,95.39,105.9,108.03,92.02,102.73,116.26,81.71,110.56,109.17,123.9,122.36,93.55,95.24,108.63,124.74,143.88,166.09,116.96,100.99,117.1,118.69,115.37,146.8,158.85,119.58,NA,NA,122.76,135.15,138.47,169.51,134.61,154.34,139.37,152.5,172.78,229.65,255.63,210.91,202.43,158.16,145.22,163.01,218.34,226.18,207.14,146.11,157.86,161.03,173.13,244.82,241.75,218.1,150.17,164.45,164.65,189.09,257.56,277.74,225.43,168.07,188.05,182.35,202.18,255.38,230.89,196.58,175.01,188.55,195.64,206.1,279.62,271.1,234.36,179.67,200.15,201.54,248.74,288.99,268.47,289.14,214.08,194.74,206.74,198.17,271.84,257.11,235.99,197.07,206.25,204.12,216.41,248.54,266.93,244.62,216.11,191.37,197.52,216.56,279.72,292.41,249.53,192.22,174.67,205.01,213.58,254.69,252.35,233.32,215.07,190.48,193.11,206.99,243.93,295.79,266.58,190.68,172.34,177.89,189.69,265.05,257.76,231.14,179.97,174.52,183.14,178.98,243.48,265.64,211.2,158.7,149.68,152.95,174.81,211.7,218.99,173.77,157.51,158.25,165.29,199.65,278.19,320.28,279.87,300.69,175.56,163.66,162.57,211.2
"2188","county","Bates County","driving","","Missouri","United States",100,99.63,98.44,120,111.28,146.88,108.17,110.09,92.11,75.14,93.12,107.06,123.85,93.94,101.28,97.25,83.94,100.37,136.42,141.93,79.72,113.49,97.34,76.42,105.23,135.78,129.17,110.92,107.25,102.84,83.58,107.89,170.18,149.63,108.53,126.7,93.76,135.32,124.13,148.9,136.24,133.67,105.87,94.77,105.14,120.83,160.09,145.96,115.96,109.17,102.2,110.92,125.32,172.94,168.07,134.86,101.47,129.82,120.37,112.94,152.39,141.56,123.85,120.28,98.26,90.64,88.72,123.12,88.07,83.67,76.15,68.99,76.51,72.2,81.74,79.45,65.14,79.45,70.09,75.05,78.44,74.4,64.59,67.43,64.77,61.93,75.32,80.83,84.68,79.72,56.88,66.15,75.96,87.89,91.93,94.22,91.74,84.86,85.78,89.36,83.85,94.31,95.5,106.51,91.83,90.64,91.56,88.9,100.92,128.99,112.57,98.99,99.45,106.88,113.03,121.19,152.02,149.45,121.28,NA,NA,119.91,140.46,155.05,137.06,138.17,128.17,128.62,139.82,161.1,222.48,179.36,147.52,180.46,152.02,122.2,126.51,185.05,184.77,141.93,134.59,122.66,130.37,142.84,193.3,167.25,195.32,144.95,139.82,165.32,176.51,210.28,177.98,213.3,158.35,140.37,159.27,175.23,226.61,180,184.86,153.12,144.04,176.61,193.67,232.75,204.95,216.7,158.26,147.16,189.17,232.11,222.84,175.87,244.4,187.16,157.71,166.06,197.71,236.97,188.26,226.33,157.16,154.13,155.69,174.68,241.47,201.19,214.77,156.42,136.61,161.93,179.82,243.94,200.55,210.92,150.83,153.85,138.26,163.58,215.96,205.96,199.82,159.27,153.67,146.15,169.91,232.2,175.69,208.17,160,154.68,165.6,177.98,229.54,193.39,204.59,146.88,144.59,146.97,169.54,213.21,181.93,172.02,139.63,132.94,128.53,142.02,203.49,162.57,169.08,129.63,123.76,127.71,159.54,274.31,185.32,166.88,216.06,143.76,127.98,132.94,197.71
"2262","county","Boone County","driving","","Missouri","United States",100,105.14,106.2,116.46,68.1,126.18,108.57,139.65,140.58,121.8,108.72,115.61,148.46,107.92,118.75,122.12,118.95,129.49,159.14,151.25,107.15,120.96,109.04,87.58,117.42,179.42,162.42,115.09,125.45,129.24,105.06,133.58,175.79,165.06,129.32,131.87,123.75,136.28,161.7,196.12,184.06,124.13,119.82,123.72,134.8,139.73,181.24,195.51,139.62,128.37,136.11,134.61,151.93,189.72,193.16,143.8,127.65,142.26,145,136.48,149.41,132.19,98.67,101.58,98.77,89.46,88.03,94.14,80.03,53.75,69.32,66.73,63.07,69.26,72.05,65.12,59.52,72.02,74.85,75.67,76.66,81.04,66.58,57.1,72.82,79.34,79.92,77.89,87.82,70.87,48.66,77,81.04,85.94,83.13,93,92.29,73.99,89.57,90.35,89.84,93.1,99.05,91.91,82.11,98.93,91.63,94.81,112.18,121.67,109.99,87.65,103.3,115.47,118.18,119.03,141.78,129.71,89.48,NA,NA,124.33,130.1,155.98,144.05,122.59,138.18,140.49,147.13,152.97,171.28,147.85,114.16,112.93,145.4,146.93,147.22,184.43,162.45,132.2,156.29,149.85,150.46,155.13,180.38,172.91,138.22,150.63,145.71,159.91,167.1,188.22,172.31,140.67,160.37,161.56,164.47,170.64,195.32,170.68,130.25,157,167.15,168.99,175.21,201.02,182.16,145.43,164.26,166.03,174.19,186.9,166.51,125.73,131.08,160.41,165.19,171.33,177.12,195.34,178.33,143.89,162.33,165.74,163.23,175.59,194.65,177.68,137.72,152.71,161.46,172.49,175.57,203.79,175.48,147.88,161.05,174.75,170.37,180.11,193.68,183.33,145.1,171.65,185.09,179,181.13,210.86,187.08,161.55,177.55,177.96,197.02,208.14,259.7,265.6,231.37,240.95,231.81,256.26,248.13,290.2,273.71,231.66,238.19,225.11,222.08,229.19,266.47,243.16,189.34,194.39,200.54,211.81,221.98,259.52,211.69,170.06,180.32,191.97,194.41,199.66,246.46
